"id_venda","id_cliente","id_produto","id_vendedor","data_venda","quantidade","valor","valor_total"
1,28,16,11,"2023-06-12",4,2500.0,10000.0
2,80,25,2,"2024-11-10",9,500.0,4500.0
3,90,24,8,"2023-02-16",4,5000.0,20000.0
4,28,15,11,"2022-10-16",1,500.0,500.0
5,14,42,7,"2022-08-29",8,1500.0,12000.0
6,34,45,10,"2023-03-20",1,2000.0,2000.0
7,86,22,18,"2022-05-06",3,1000.0,3000.0
8,4,28,3,"2022-06-01",4,3000.0,12000.0
9,95,35,13,"2022-08-23",7,3500.0,24500.0
10,2,32,17,"2022-02-17",7,800.0,5600.0
11,70,27,18,"2022-04-28",7,5000.0,35000.0
12,22,35,14,"2022-04-21",1,3500.0,3500.0
13,49,50,20,"2022-02-28",7,1500.0,10500.0
14,6,39,16,"2024-05-15",8,3500.0,28000.0
15,83,36,5,"2023-08-03",6,1500.0,9000.0
16,34,4,12,"2022-11-22",1,1500.0,1500.0
17,84,1,1,"2023-12-25",9,1500.0,13500.0
18,71,30,11,"2024-11-16",9,800.0,7200.0
19,85,16,8,"2022-08-21",4,2500.0,10000.0
20,34,47,19,"2023-10-09",7,1500.0,10500.0
21,90,23,14,"2022-09-20",9,3000.0,27000.0
22,50,47,7,"2023-03-18",4,1500.0,6000.0
23,36,5,14,"2024-10-17",7,1500.0,10500.0
24,39,41,15,"2024-12-04",4,2000.0,8000.0
25,42,22,19,"2023-12-28",9,1000.0,9000.0
26,2,19,5,"2023-04-22",4,2200.0,8800.0
27,9,4,16,"2024-12-23",1,1500.0,1500.0
28,58,16,11,"2022-04-28",2,2500.0,5000.0
29,88,50,8,"2024-08-21",9,1500.0,13500.0
30,45,2,10,"2022-11-27",2,2500.0,5000.0
31,22,13,8,"2024-05-23",1,2500.0,2500.0
32,80,28,13,"2023-04-29",2,3000.0,6000.0
33,4,48,1,"2022-09-02",5,1500.0,7500.0
34,91,21,17,"2024-08-16",6,5000.0,30000.0
35,84,2,4,"2023-03-24",6,2500.0,15000.0
36,31,44,4,"2023-04-07",6,500.0,3000.0
37,97,34,9,"2024-08-03",9,3500.0,31500.0
38,40,6,9,"2024-02-26",2,3000.0,6000.0
39,2,16,5,"2024-10-19",3,2500.0,7500.0
40,38,2,20,"2024-07-16",8,2500.0,20000.0
41,64,41,17,"2022-06-02",4,2000.0,8000.0
42,32,43,6,"2023-03-29",1,3000.0,3000.0
43,70,43,14,"2022-09-09",8,3000.0,24000.0
44,75,43,17,"2022-09-13",4,3000.0,12000.0
45,76,23,2,"2024-06-02",5,3000.0,15000.0
46,84,31,7,"2022-05-17",8,3000.0,24000.0
47,40,45,3,"2024-06-15",6,2000.0,12000.0
48,10,25,14,"2023-01-22",1,500.0,500.0
49,64,30,2,"2024-07-20",6,800.0,4800.0
50,35,29,11,"2023-01-18",9,2500.0,22500.0
51,51,17,1,"2024-11-26",2,1200.0,2400.0
